,Pearson's Correlation Coefficient
AMOTL1,0.288
CBX8,0.288
NOXO1,0.287
CENPM,0.287
ASS1P11,0.287
LRRN4CL,0.287
NUPR1,0.287
MELTF,0.287
FAM72D,0.287
POP1,0.287
RNA5SP323,0.287
ENSG00000267688,0.287
PABPC4L,0.287
OSR1,0.287
ENO1,0.287
FZD4,0.287
GREB1L,0.287
BNC1,0.287
ENSG00000256616,0.287
TCF24,0.287
ACACA,0.287
DSCAM-AS1,0.287
ENSG00000254251,0.286
KRT18P23,0.286
ENSG00000250748,0.286
ENSG00000285948,0.286
ENSG00000185296,0.286
TRABD2B,0.286
ENSG00000278367,0.286
MAGEA2B,0.286
EIF4A1,0.286
ENSG00000275542,0.286
TSR1,0.286
KRT89P,0.286
OLFML2A,0.286
RERG,0.286
COL7A1,0.286
GFPT2,0.286
OTX1,0.285
COL5A1,0.285
GAS6-DT,0.285
IRAK1,0.285
LINC01123,0.285
ENSG00000285600,0.285
ENSG00000234567,0.285
ENSG00000257732,0.285
EPB41L4B,0.285
ENSG00000261051,0.285
ENSG00000275966,0.285
IFNWP19,0.285
ENSG00000279569,0.285
FAM72B,0.285
CD109-AS1,0.285
ENSG00000278998,0.285
BFSP1,0.285
ENSG00000273387,0.285
ENSG00000261204,0.285
TSSK5P,0.285
GAS8,0.285
SLC3A2,0.285
DKC1,0.285
ENSG00000231324,0.285
ENSG00000280187,0.285
ENSG00000285920,0.285
ORC1,0.284
COL5A1-AS1,0.284
ALG1L,0.284
PYCR3,0.284
NKILA,0.284
IGFN1,0.284
ENSG00000234698,0.284
SAPCD2P2,0.284
ENSG00000227857,0.284
ARHGEF17,0.284
TUBB3,0.284
DEPDC1B,0.284
NUAK1,0.284
KCTD1,0.284
KCTD3,0.284
HES1,0.284
LYPD1,0.284
SH3BP4,0.284
KRT18P15,0.284
ENSG00000251257,0.284
TCF19,0.284
MPDZ,0.284
NKX6-1,0.283
RHPN2P1,0.283
BMP4,0.283
KRT18P3,0.283
KRT8P32,0.283
DCST1-AS1,0.283
EPN3,0.283
IPO4,0.283
ENSG00000273209,0.283
LINC00240,0.283
CD109,0.283
MIR622,0.283
ENSG00000257500,0.283
ATP6V0A4,0.283
MNAT1,0.283
WDR35-DT,0.283
SYT7,0.283
CPS1,0.283
ENSG00000231054,0.283
CCDC150,0.283
SPTBN2,0.283
KIAA1217,0.283
PSG1,0.283
ARHGEF10,0.283
GACAT2,0.283
COL16A1,0.282
LINC00536,0.282
ALPG,0.282
ICMT-DT,0.282
ENSG00000250906,0.282
TGFB2,0.282
ENSG00000251031,0.282
TMEM45A,0.282
CKS1BP3,0.282
SPAG5,0.282
GCSHP5,0.282
FOXN1,0.282
ENSG00000272405,0.282
TUBA5P,0.282
SETD7,0.282
CAD,0.282
LINC00887,0.282
ENSG00000269095,0.282
SNX7,0.282
EFNA5,0.282
KRT8P9,0.282
HSPD1,0.282
PXDN,0.282
AGRN,0.282
ENSG00000279712,0.281
MIR6510,0.281
DHCR24,0.281
BARX1,0.281
ENSG00000280013,0.281
ENSG00000258414,0.281
ENSG00000272551,0.281
FAM25A,0.281
GPR176-DT,0.281
DYNC1LI2-DT,0.281
ASAP3,0.281
ENSG00000243444,0.281
NEK2P1,0.281
ALDH7A1,0.281
GGH,0.28
USH1G,0.28
SGO1,0.28
MFAP2,0.28
SERPINH1P1,0.28
TPI1,0.28
RTL8B,0.28
VSIG10,0.28
ENSG00000279085,0.28
MARVELD1,0.28
LINC01239,0.28
AVPI1,0.28
PANK1-AS1,0.28
LMO1,0.28
LBX1,0.28
GAPDH,0.28
TSPAN6,0.28
ENSG00000276131,0.28
TTC8,0.28
C20ORF141,0.28
ENSG00000280414,0.28
ENSG00000273769,0.28
SPIRE1,0.28
FAM72A,0.279
DKKL1,0.279
TLCD2,0.279
PCCA-DT,0.279
ENSG00000236947,0.279
RGS20,0.279
RASD2,0.279
ASS1P14,0.279
ENSG00000258314,0.279
ENSG00000284883,0.279
MYO19,0.279
LINC01615,0.279
SEPTIN14P12,0.279
ENSG00000260777,0.279
CSAG1,0.279
ENSG00000259580,0.279
ENSG00000250546,0.279
CHRNA3,0.279
HELLS,0.278
TINCR,0.278
MIR4758,0.278
CDRT1,0.278
TTC6,0.278
ENSG00000280217,0.278
MORC4,0.278
KRT18P1,0.278
ITGB6,0.278
PTPRG-AS1,0.278
CHPF,0.278
OTUD7B,0.278
LAMC1-AS1,0.278
MEX3D,0.278
LINC01775,0.278
TYMSOS,0.278
PSLNR,0.278
ZFP64,0.277
LUARIS,0.277
TMEM239,0.277
ENSG00000272848,0.277
ASNSP1,0.277
TSACC,0.277
ANKRD29,0.277
AARD,0.277
COL4A6,0.277
SYPL2,0.277
ENSG00000234740,0.277
SLC7A2,0.277
ENSG00000274447,0.277
STARD13,0.277
MAP3K20,0.277
ENSG00000276443,0.277
COL4A2-AS1,0.276
TARS1,0.276
ENSG00000228680,0.276
NABP2,0.276
ENSG00000242590,0.276
NPAS2-AS1,0.276
MPP2,0.276
ZNF774,0.276
ENSG00000260466,0.276
ENSG00000276527,0.276
EDN2,0.276
RFC4,0.276
ENSG00000233706,0.275
LINC01143,0.275
LINC00941,0.275
KCNK1,0.275
ALKBH2,0.275
IGFBP6,0.275
APLP1,0.275
SPIRE2,0.275
KRT18P48,0.275
DDIAS,0.275
COL4A2,0.275
ENPP1,0.275
ENSG00000285184,0.275
WDHD1,0.275
ENSG00000220702,0.275
PAQR4,0.275
DTYMK,0.275
ASS1P13,0.275
RAC3,0.275
CDC42BPA,0.275
PARD3-DT,0.275
C4ORF36,0.275
MAGEA2,0.275
RAD23B,0.275
NOTCH3,0.275
PTPRK-AS1,0.275
DBN1,0.274
DOCK1,0.274
ENSG00000274825,0.274
DLX6,0.274
HOGA1,0.274
ENSG00000249328,0.274
HAS2,0.274
GPR37,0.274
INCENP,0.274
ENSG00000275719,0.274
EXOC3-AS1,0.274
ENSG00000280132,0.274
FZD2,0.274
COSMOC,0.274
ENSG00000278291,0.274
LINC01394,0.274
ITGB5,0.274
ZNF703,0.274
PERM1,0.274
KRT18P55,0.274
LRRC59,0.274
KLC3,0.274
FOXE1,0.274
TRPM4,0.273
GMPS,0.273
PALLD,0.273
IQCJ-SCHIP1,0.273
ENSG00000204429,0.273
BMP1,0.273
WWC1,0.273
FAM151B-DT,0.273
WNK4,0.273
PMCH,0.273
MRTO4,0.273
CYP27B1,0.273
ENSG00000253837,0.273
NGEF,0.273
FBP2,0.273
BMPR1B,0.273
ENSG00000272729,0.273
BYSL,0.273
GPRIN1,0.273
ENSG00000236098,0.273
CKMT1B,0.273
ENSG00000228626,0.273
ENSG00000285873,0.272
RTKN,0.272
ENSG00000254290,0.272
URAHP,0.272
ENSG00000230650,0.272
COQ7-DT,0.272
LINC01186,0.272
BMPR1A,0.272
MATN4,0.272
L1CAM,0.272
VSIG10L2,0.272
ENSG00000237810,0.272
CCNYL2,0.272
GTF3C4,0.272
PHC2-AS1,0.272
ENSG00000276763,0.272
POLE2,0.272
TONSL,0.272
FBXW10,0.272
MB,0.272
ENSG00000268050,0.272
TRIM7,0.272
CENPH,0.272
MEIS1-AS3,0.272
ENSG00000223393,0.272
YY2,0.272
NLGN2,0.272
UBE2S,0.272
PSMB5,0.271
EPS8,0.271
GIPC1,0.271
ENSG00000232536,0.271
BOD1,0.271
C1QTNF9B,0.271
DMKN,0.271
NT5DC2,0.271
MAFA,0.271
AKT1S1,0.271
LINC01515,0.271
PKP1,0.271
GAS8-AS1,0.271
CGB3,0.271
KTN1-AS1,0.271
ENSG00000267922,0.271
SLC9A3R2,0.271
LINC00511,0.271
RPGRIP1L,0.271
ENSG00000218416,0.271
CABYR,0.271
METTL1,0.27
ENSG00000259645,0.27
ENSG00000276859,0.27
MCM8,0.27
SCIRT,0.27
DHCR7,0.27
EBNA1BP2,0.27
ENSG00000228478,0.27
COL27A1,0.27
PKN3,0.27
FZD9,0.27
SGO2,0.27
AHRR,0.27
ENSG00000224984,0.27
CDK16,0.27
OSBPL6,0.27
ISL1,0.27
GLRB,0.27
NOLC1,0.27
ENSG00000277050,0.27
CENPS,0.27
PRSS23,0.27
PRDX4,0.27
KRT8P37,0.27
LAPTM4BP2,0.27
SSUH2,0.27
SCDP1,0.269
ENSG00000223703,0.269
COA7,0.269
NPHP1,0.269
MRGBP,0.269
PPIA,0.269
EFNB3,0.269
KRT18P21,0.269
CHEK2,0.269
KRT18P33,0.269
CRYM-AS1,0.269
DPY19L3-DT,0.269
ENSG00000260989,0.269
MTHFD1L,0.269
RPL26L1,0.269
ENSG00000229212,0.269
ENSG00000274378,0.269
ENSG00000278903,0.269
NPAS1,0.269
MSLNL,0.269
P4HB,0.269
ENSG00000213959,0.268
CKS1BP7,0.268
HMGA2,0.268
TIMELESS,0.268
RARG,0.268
ZNF367,0.268
TOMM40P2,0.268
MANEAL,0.268
CEACAMP11,0.268
MIR1178,0.268
FIBCD1-AS1,0.268
PIP5KL1,0.268
PRDM12,0.268
PLK4,0.268
LINC00355,0.268
GGCT,0.268
RHOBTB3,0.268
ADGRD2,0.268
FHIP1A,0.268
ENSG00000272691,0.268
VEGFC,0.268
POLR2H,0.267
ENSG00000278642,0.267
GMNN,0.267
WWC2-AS2,0.267
ROS1,0.267
GRHL3,0.267
LGR4,0.267
TRIB3,0.267
ENSG00000271853,0.267
MAGEC2,0.267
ENSG00000263280,0.267
LOXL1,0.267
AHCY,0.267
ENSG00000250697,0.267
RAB26,0.266
LINC02434,0.266
KRT8P49,0.266
HMGB3P6,0.266
KRT8P35,0.266
TUBB4B,0.266
ENSG00000278389,0.266
ENSG00000203635,0.266
FAM189B,0.266
ENSG00000285889,0.266
KRT8P13,0.266
ENSG00000279660,0.266
SUSD5,0.266
C11ORF91,0.266
AFAP1-AS1,0.266
ENSG00000259522,0.266
CSNK1E,0.266
PCNA,0.266
LRP6,0.266
LDLRAD3,0.266
TCFL5,0.266
LINC00942,0.266
FOXD2,0.266
ENSG00000276408,0.266
MRPL36,0.265
LINC01895,0.265
DSTN,0.265
CERS1,0.265
C19ORF48,0.265
LINC02236,0.265
ENSG00000259180,0.265
ARLNC1,0.265
ENSG00000238258,0.265
LINC00601,0.265
THEG,0.265
KRT8P8,0.265
ERVK9-11,0.265
MTFR2,0.265
HDGF,0.265
ENSG00000235386,0.265
C1QTNF1,0.265
ENSG00000276722,0.265
ENSG00000279645,0.265
FKBP14-AS1,0.265
JADE3,0.264
PCDHB2,0.264
CFAP206,0.264
ENSG00000270490,0.264
ANKRD2,0.264
BMPR1AP1,0.264
HOXB-AS4,0.264
ENSG00000267666,0.264
RAB3IL1,0.264
FOSL1,0.264
KRT84,0.264
LINC02130,0.264
PSRC1,0.264
PIK3R3,0.264
TRIP6,0.264
KCNG3,0.264
LCTL,0.264
NECTIN4,0.264
CMBL,0.264
TRNP1,0.264
FLNB,0.264
KNOP1,0.264
GJB3,0.264
NLRP10,0.264
ENSG00000285957,0.263
XYLB,0.263
ENSG00000279443,0.263
LINC02104,0.263
S100A3,0.263
ENSG00000261379,0.263
ENSG00000265349,0.263
LSP1P4,0.263
CSAG4,0.263
ENSG00000264982,0.263
ENSG00000250240,0.263
CENPS-CORT,0.263
CILP2,0.263
SAC3D1,0.263
IARS1,0.263
FGFBP1,0.263
ENSG00000236536,0.263
TREH,0.263
ENSG00000269068,0.263
TGFB2-OT1,0.263
DUBR,0.263
CKMT1A,0.263
CALML5,0.263
NDC1,0.263
ALDH1L2,0.263
YES1,0.262
DENND2B,0.262
KIF24,0.262
CDH3,0.262
DCBLD1,0.262
TLCD5,0.262
SNORA50C,0.262
REXO5,0.262
SNX24,0.262
PIP5K1A,0.262
ENSG00000224738,0.262
LINC02438,0.262
ENSG00000267335,0.262
TLN2,0.262
RWDD2B,0.262
AP1S1,0.262
SSRP1,0.262
PTPRK,0.262
LIF-AS2,0.262
ENSG00000240338,0.262
KDM4D,0.262
FAM83C-AS1,0.262
LINC01357,0.262
ENSG00000281311,0.262
FAM171A2,0.262
KRT10-AS1,0.262
MKX-AS1,0.262
LINC01429,0.262
ENSG00000279590,0.261
ENSG00000267505,0.261
LINC01213,0.261
MBTPS2,0.261
ENSG00000280424,0.261
LINC02806,0.261
ENSG00000253397,0.261
SNORD88C,0.261
XPOT,0.261
LINC00475,0.261
ASF1B,0.261
PIGW,0.261
MRPL17,0.261
RANBP1,0.261
METRN,0.261
ENSG00000267992,0.261
ENSG00000206878,0.261
B4GALNT4,0.261
SKP2,0.261
ENSG00000271989,0.261
DFFA,0.261
LINC02601,0.261
LINC01667,0.261
TARID,0.261
LINC00313,0.261
PAK4,0.261
ANXA8,0.261
ENSG00000227141,0.26
CCNE2,0.26
GPATCH4,0.26
LINC00629,0.26
STEAP3,0.26
ENSG00000222881,0.26
NCAPD2,0.26
ENSG00000260046,0.26
LINC01807,0.26
CHAC1,0.26
ENSG00000267139,0.26
KRT8P41,0.26
DDX11-AS1,0.26
NDFIP2,0.26
GDF1,0.26
ZNF771,0.26
SVEP1,0.26
PVR,0.26
RAB13,0.26
EVA1A,0.26
LRFN4,0.26
ENSG00000282950,0.26
LRP4-AS1,0.26
RAD54B,0.26
RACGAP1P1,0.26
KIRREL1-IT1,0.259
ENSG00000257622,0.259
CENPO,0.259
LINC01234,0.259
ENSG00000198211,0.259
COMMD4,0.259
VDAC1,0.259
FOXF1,0.259
PRSS12,0.259
BACE2,0.259
ENSG00000279713,0.259
LINC01693,0.259
TMEM105,0.259
DSG2-AS1,0.259
CD151,0.259
ENSG00000250509,0.259
ADORA1,0.259
TWNK,0.259
PAX3,0.259
ACRV1,0.259
ENSG00000273998,0.259
VGF,0.259
DYRK3-AS1,0.259
LINC02111,0.258
ZFAND2A-DT,0.258
MCM3,0.258
WEE1,0.258
ENSG00000259049,0.258
ENSG00000235774,0.258
ENSG00000264647,0.258
HOMER1,0.258
ENSG00000285988,0.258
ENSG00000258711,0.258
ENSG00000233728,0.258
ENSG00000237299,0.258
ICMT,0.258
BVES-AS1,0.258
RNF224,0.258
FRAS1,0.258
LMCD1,0.258
GPT2,0.258
A4GALT,0.258
SLC35G1,0.258
LHB,0.258
ENSG00000258092,0.257
ENSG00000273299,0.257
WDR3,0.257
NPY4R,0.257
SH3PXD2B,0.257
CTNNA1-AS1,0.257
ENSG00000269729,0.257
NFATC4,0.257
ENSG00000238273,0.257
ENSG00000279769,0.257
PGAM5,0.257
ERBB2,0.257
POMT2,0.257
CMTM4,0.257
CHAF1A,0.257
CFAP69,0.257
GART,0.257
SMUG1,0.257
ENSG00000266171,0.257
PCDHB16,0.257
ERVMER34-1,0.257
PLEKHN1,0.257
ENTR1,0.257
TNS2,0.256
ENSG00000277764,0.256
ENSG00000274879,0.256
LINC02613,0.256
ENSG00000242396,0.256
SUV39H2,0.256
HSPA4L,0.256
TFDP1,0.256
ENSG00000274859,0.256
MARK1,0.256
KCNJ18,0.256
GASAL1,0.256
AFAP1,0.256
MIR503HG,0.256
CKS1BP6,0.256
RBM24,0.256
IFRD2,0.256
ASPHD1,0.256
SMAD5,0.256
KCTD13-DT,0.256
C5ORF38,0.256
L2HGDH,0.256
GAS1RR,0.256
FANCG,0.256
TBX15,0.256
LINC01633,0.256
ROBO1,0.256
RN7SL219P,0.256
C9ORF163,0.255
ENSG00000202379,0.255
NKAIN1,0.255
LINC00634,0.255
DST-AS1,0.255
ENSG00000276851,0.255
NRAV,0.255
ENSG00000179342,0.255
NPM3,0.255
NUCKS1,0.255
CHMP4C,0.255
ISL2,0.255
MKX,0.255
SLC39A1,0.255
ENSG00000230698,0.255
KRT18P56,0.255
C17ORF58,0.255
ZDHHC9,0.255
STK3,0.255
CYP4F26P,0.255
LINC01666,0.255
CBR3,0.255
ENSG00000278456,0.255
CCDC74A,0.255
LINC01385,0.255
SEPTIN10,0.255
ENSG00000265069,0.255
MTHFD2,0.255
TMEM97,0.255
ENSG00000285845,0.254
PPME1,0.254
KRTAP19-1,0.254
VGLL2,0.254
ENSG00000268460,0.254
MIR4683,0.254
MIR6716,0.254
ENSG00000260577,0.254
PCDHB14,0.254
PPFIA3,0.254
SKIDA1,0.254
ENSG00000274528,0.254
SLC6A15,0.254
SNORD88B,0.254
ENSG00000279047,0.254
FGF5,0.254
ENSG00000243885,0.254
CGB5,0.254
DDR1,0.254
RUVBL2,0.254
TONSL-AS1,0.254
ENSG00000223947,0.254
LHX2,0.254
ENSG00000277373,0.254
KRT8P5,0.254
DZIP1L,0.254
KRT18P51,0.254
PTK7,0.254
TMEM241,0.254
ENSG00000244125,0.254
ENSG00000253174,0.254
PFDN4,0.254
HOXA1,0.254
KIAA1549L,0.253
GAS1,0.253
SYDE2,0.253
ENSG00000272622,0.253
C1ORF198,0.253
LINC01600,0.253
LYPD6B,0.253
WNT3A,0.253
FAM86C2P,0.253
COPRS,0.253
ENSG00000279472,0.253
HSPB1,0.253
DYRK3,0.253
STEAP3-AS1,0.253
SH3RF2,0.253
TYRP1,0.253
SKA2,0.253
SLC38A2,0.253
PCDHB13,0.253
PAWR,0.253
LINC00322,0.253
HDLBP,0.253
ZMYND19,0.253
STEAP1,0.253
LINC00311,0.252
CDCA4,0.252
METTL2A,0.252
ENSG00000267295,0.252
MRPL24,0.252
ENSG00000267092,0.252
CASC11,0.252
PLXNA1,0.252
SMC2,0.252
DHFR,0.252
SNHG4,0.252
ENSG00000280278,0.252
ENSG00000278878,0.252
CACNA1G,0.252
ACVR2B-AS1,0.252
ENSG00000282843,0.252
HNRNPAB,0.252
ENSG00000261334,0.252
FGFR4,0.252
ENSG00000259316,0.252
MIR4733HG,0.252
PSMG3,0.252
PLK2,0.251
MCM6,0.251
NIBAN2,0.251
ENSG00000270460,0.251
UNC5B,0.251
WDR4,0.251
LINC02253,0.251
ENSG00000249304,0.251
TM4SF1,0.251
NKX2-1,0.251
ENSG00000261575,0.251
TMEM198,0.251
ENSG00000266495,0.251
GRTP1-AS1,0.251
LINC01139,0.251
SLC6A17,0.251
ENSG00000228933,0.251
SOWAHC,0.251
S100A14,0.251
PIAS3,0.251
ENSG00000274427,0.251
MIR6888,0.251
ENSG00000259768,0.251
LINC00308,0.251
MIR615,0.251
GATA2,0.251
ENSG00000265055,0.251
AQP6,0.251
LIF,0.251
TSPAN1,0.251
TTF2,0.25
PLXNB3,0.25
FGFR3,0.25
BDNF,0.25
ENSG00000258857,0.25
P3R3URF-PIK3R3,0.25
ENSG00000274055,0.25
NRP1,0.25
FAM222A-AS1,0.25
MIR3185,0.25
EIF4EBP1,0.25
LINC02802,0.25
TRIM7-AS1,0.25
BMPR1AP2,0.25
RAN,0.25
ENSG00000225678,0.25
PURPL,0.25
SDC4,0.25
ENSG00000272172,0.25
TOMM34,0.25
PMP22,0.25
NECTIN1-DT,0.25
MIS18A,0.25
PRMT5,0.25
TMEM9,0.25
ROR1,0.25
MIR6830,0.25
PTK2,0.25
LAMB3,0.25
CCDC80,0.25
DNMT3B,0.25
ENSG00000284906,0.25
KRTAP1-5,0.25
ENSG00000243415,0.25
ISCA1P4,0.25
TMEM132D-AS1,0.25
TBCE,0.249
PSG8,0.249
MAD2L1P1,0.249
RASSF9,0.249
DYNC2H1,0.249
DEPDC4,0.249
RPL23AP20,0.249
IER5L,0.249
ARHGAP29-AS1,0.249
PRSS56,0.249
FGF2,0.249
CCNE1,0.249
EPN2,0.249
HILPDA,0.249
KRT8P51,0.249
USP13,0.249
ENSG00000267456,0.249
ALDH3A1,0.249
KIF1C,0.249
ENSG00000273821,0.249
POFUT1,0.249
EVX2,0.249
ENSG00000241720,0.248
ZNRF2P2,0.248
LDHA,0.248
ENSG00000253258,0.248
ENSG00000236393,0.248
ANKRD1,0.248
ENSG00000266446,0.248
TPM1,0.248
ENSG00000268896,0.248
ENSG00000254038,0.248
SULT2B1,0.248
CDK2AP1,0.248
ENSG00000263680,0.248
ENSG00000254574,0.248
TOMM40,0.248
KRTAP2-3,0.248
MRPL37,0.248
HECW1,0.248
ENSG00000253130,0.248
ENSG00000271803,0.248
CENPU,0.248
ARHGAP28,0.248
HS6ST2,0.248
SRPX2,0.248
ENSG00000259514,0.248
ADCY6-DT,0.248
BZW2,0.248
ZNF280A,0.248
RCN1,0.247
BOLA3,0.247
ENSG00000267251,0.247
DBNDD1,0.247
SPEG,0.247
PLCB4,0.247
ENSG00000268333,0.247
KRT8P30,0.247
INSYN1,0.247
GDNF,0.247
ROR2,0.247
KRT18P20,0.247
AFAP1L1,0.247
ENSG00000236921,0.247
ENSG00000267405,0.247
ENSG00000248787,0.247
ENSG00000285587,0.247
ENSG00000280426,0.247
HSPG2,0.247
LINC00345,0.247
NPAS2,0.247
LINC00471,0.247
NDUFAF2,0.247
FSBP,0.247
IL17D,0.247
CALD1,0.247
AMTN,0.247
ENSG00000257432,0.247
FBXL19-AS1,0.247
ENSG00000260211,0.247
FZD8,0.247
ENSG00000279075,0.247
EPOP,0.247
ENSG00000279458,0.246
MESP1,0.246
DSG2,0.246
TMTC3,0.246
MELTF-AS1,0.246
ENSG00000224969,0.246
AOPEP,0.246
SLC4A2,0.246
C20ORF144,0.246
ENSG00000285155,0.246
ADAM32,0.246
ENSG00000279441,0.246
ENSG00000278514,0.246
LINC02620,0.246
ENSG00000270372,0.246
C1QBP,0.246
SSR4P1,0.246
ENSG00000259993,0.246
ENSG00000266560,0.246
MAGEA10,0.246
CABLES1,0.246
AKR1B10,0.246
PCOLCE,0.246
MEIS3P1,0.246
HSPA4,0.246
MESP2,0.246
ENSG00000260643,0.246
NOC2L,0.246
TRIP10,0.246
TXNRD1,0.246
LAMA1,0.246
SEMA3B-AS1,0.246
PDE10A,0.246
ENSG00000230615,0.246
ENSG00000274491,0.246
RHOD,0.246
GPI,0.246
LINC02521,0.246
ENSG00000253768,0.246
FAM83A,0.246
ASPH,0.245
ENSG00000271980,0.245
ENSG00000255176,0.245
BICC1,0.245
CTTNBP2NL,0.245
ADAM9,0.245
ENSG00000207383,0.245
PTPRG,0.245
ARHGAP28-AS1,0.245
TWF1,0.245
GOLGA2P7,0.245
CELSR2,0.245
SWI5,0.245
MORF4L2,0.245
ENSG00000271218,0.245
LRRC1,0.245
ENSG00000258203,0.245
ENSG00000253445,0.245
MST1R,0.245
OR1F1,0.245
SLC30A3,0.245
PLCB3,0.245
LINC02585,0.245
ENSG00000284954,0.245
NCAPD3,0.245
ZNF629,0.244
DCST1,0.244
SUGT1P1,0.244
PLCE1-AS1,0.244
INTS7,0.244
C8ORF33,0.244
MAST2,0.244
ENSG00000283283,0.244
HACD3,0.244
ENSG00000279807,0.244
UBE2SP1,0.244
ENSG00000258425,0.244
DNAAF4,0.244
IRS1,0.244
DDX31,0.244
MIR6875,0.244
KRT8P11,0.244
PCLO,0.244
DSN1,0.244
C2CD4C,0.244
CKAP2,0.244
TSPAN9,0.244
ENSG00000262172,0.244
KLHL38,0.244
ALDH1B1,0.243
TLL1,0.243
KIF26A,0.243
PRR15,0.243
NES,0.243
ANGPTL8,0.243
ATP5MC1P4,0.243
ENSG00000254665,0.243
POLA1,0.243
ZNF833P,0.243
ENSG00000231530,0.243
ZFYVE9,0.243
SERINC2,0.243
ENSG00000224817,0.243
H2AX,0.243
TRAP1,0.243
ENSG00000235427,0.243
ENSG00000261243,0.243
LINC01968,0.243
MARK2P9,0.243
ENSG00000265693,0.243
TIMM50,0.243
ENSG00000231187,0.243
SLC39A14,0.243
GTPBP4,0.243
POU2F3,0.243
FAAP24,0.243
LINC01204,0.243
CCDC40,0.243
ENSG00000271021,0.243
PTPRS,0.243
WASF1,0.242
RBBP8,0.242
ZIC1,0.242
ENSG00000285570,0.242
PC,0.242
TMEM231,0.242
CFAP20DC,0.242
CA9,0.242
SAMD15,0.242
TBL2,0.242
ENSG00000231156,0.242
MEIOSIN,0.242
ENSG00000249216,0.242
ENSG00000283167,0.242
ARNT2,0.242
ENSG00000276272,0.242
PRIM2,0.242
DENND5B-AS1,0.242
FAM114A1,0.242
ODAD2,0.242
ENSG00000272763,0.242
CLDN1,0.242
XRCC6,0.242
ADAM15,0.242
FBXO27,0.242
ENSG00000234819,0.242
IGFBP5,0.242
ENSG00000259570,0.242
MYOM3,0.242
MMP15,0.242
GNL3,0.242
ITPKA,0.242
NEURL1B,0.242
CNFN,0.242
ADGRA3,0.242
ENSG00000285577,0.242
ENSG00000249962,0.242
IRAIN,0.242
AGAP1,0.242
ENSG00000224409,0.242
ENSG00000250629,0.242
NKX2-4,0.242
RFC5,0.242
EDNRA,0.242
ENSG00000277287,0.241
KRTAP3-1,0.241
NSD2,0.241
SHMT2,0.241
ENSG00000244468,0.241
ENSG00000203392,0.241
ENSG00000255872,0.241
SRR,0.241
EPHA5,0.241
LINC01589,0.241
ENSG00000267173,0.241
HSPB2-C11ORF52,0.241
GNG13,0.241
FAM187A,0.241
SCHIP1,0.241
KRT18P68,0.241
ENSG00000281091,0.241
DCUN1D5,0.241
FRG2,0.241
NBL1,0.241
IL22RA1,0.241
TEDC2-AS1,0.241
ENSG00000272121,0.241
NUMBL,0.241
MCAM,0.241
ENSG00000264177,0.241
EPIST,0.241
RMI2,0.241
ENSG00000280191,0.241
PODNL1,0.241
NPY4R2,0.241
UBFD1,0.24
RASAL2,0.24
PPARG,0.24
TBX18-AS1,0.24
MIR1204,0.24
NKX1-2,0.24
ITPR3,0.24
CSPG5,0.24
UBE2CP4,0.24
FLRT3,0.24
NUP37,0.24
CBARP-DT,0.24
ENSG00000278071,0.24
LRRC42,0.24
ENSG00000283511,0.24
UBL4B,0.24
SLC7A1,0.24
MAP3K20-AS1,0.24
ENSG00000248576,0.24
MIR937,0.24
ENSG00000279205,0.24
RIPPLY3,0.24
CNIH4,0.24
ENSG00000227292,0.24
ENSG00000251603,0.24
ENSG00000272508,0.24
GPAT4-AS1,0.24
MYL6B-AS1,0.24
ZNF584,0.24
MEAK7,0.239
ENSG00000285361,0.239
ENSG00000278324,0.239
ENSG00000279539,0.239
ENSG00000277653,0.239
C15ORF65,0.239
ENSG00000228714,0.239
PPP1R14BP3,0.239
DST,0.239
GCAT,0.239
ENSG00000196566,0.239
FARP1-AS1,0.239
CSAG2,0.239
ENSG00000257069,0.239
CSRP2,0.239
ENSG00000262660,0.239
ENSG00000214770,0.239
MAP3K6,0.239
RPF2,0.239
GSTCD,0.239
KCNS3,0.239
ENSG00000163009,0.239
CATSPERZ,0.239
STIP1,0.239
PPAT,0.239
DHX33,0.239
ENSG00000226965,0.238
SHC1,0.238
ENSG00000273391,0.238
ENSG00000285526,0.238
CKAP5,0.238
LINC02544,0.238
EIF5A,0.238
KRT8P7,0.238
BBOX1-AS1,0.238
IPO7,0.238
URB2,0.238
MRPS17P1,0.238
CELSR1,0.238
ZBED9-AS1,0.238
TRIM37,0.238
ENSG00000224713,0.238
EZH2,0.238
ENSG00000237685,0.238
MLPH,0.238
LINC01060,0.238
CITED1,0.238
SEMA3E,0.238
OPHN1,0.238
FOXO6-AS1,0.237
WFS1,0.237
CLTCL1,0.237
BAALC-AS1,0.237
LINC02827,0.237
HS6ST3,0.237
NET1,0.237
MRPL3,0.237
SNHG19,0.237
POLR3G,0.237
ENSG00000227885,0.237
ENSG00000267199,0.237
CFL2,0.237
HCCS-DT,0.237
ENSG00000259774,0.237
ENSG00000258077,0.237
FBN1-DT,0.237
ADCY3,0.237
COMP,0.237
LINC02475,0.237
DMRTA1,0.237
ENSG00000255959,0.237
ENSG00000279347,0.237
PPP2R3A,0.237
ENOSF1,0.237
DCLK1,0.237
MRPL13,0.237
ZNF132-DT,0.237
CYP1A1,0.237
TULP1,0.237
SCML2,0.237
LAMA4,0.237
FRK,0.237
NKD2,0.237
XPO5,0.237
LINC01444,0.237
LTO1,0.237
MIR6768,0.236
AGAP1-IT1,0.236
ZFYVE9P1,0.236
